Name	SMILE
CHEMBL331688	 O=C(NC1C(=O)N(C2[C@H]3C[C@@H]4C[C@@H](C[C@H]2C4)C3)C2=CC=CC=C2N(C2=CC=CC=C2)C1=O)NC1=CC=CC(=C1)C1N=NN=N1
CHEMBL338278	 CC(C)(C1CCCC1)N1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC(=C2)C2N=NN=N2)C1=O
CHEMBL332902	 CC(C)(C)CCN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC(=C2)C2N=NN=N2)C1=O
CHEMBL331872	 FC1=CC=CC=C1N1C2=CC=CC=C2N(CCC2CCCC2)C(=O)C(NC(=O)NC2=CC=CC(=C2)C2N=NN=N2)C1=O
CHEMBL120031	 CC1=CC=CC(NC(=O)NC2C(=O)N(CC34C[C@H]5C[C@H](C[C@H](C5)C3)C4)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)=C1
CHEMBL333517	 O=CC1=CC=CC(NC(=O)NC2C(=O)N(CC34C[C@H]5C[C@H](C[C@H](C5)C3)C4)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)=C1
CHEMBL330977	 O=C(NC1C(=O)N(CC23C[C@H]4C[C@H](C[C@H](C4)C2)C3)C2=CC=CC=C2N(C2=CC=CC=C2)C1=O)NC1=CC=CC=C1
CHEMBL329984	 O=C(NC1C(=O)N(CC23CC4CC(CC(C4)C2)C3)C2=CC=CC=C2N(C2=CC=CC=C2)C1=O)NC1=CC=CC=C1
CHEMBL329305	 O=C(N[C@@H]1C(=O)N(CC23CC4CC(CC(C4)C2)C3)C2=CC=CC=C2N(C2=CC=CC=C2)C1=O)NC1=CC=CC=C1
CHEMBL120793	 O=C(NC1C(=O)N(C2[C@H]3C[C@@H]4C[C@@H](C[C@H]2C4)C3)C2=CC=CC=C2N(C2=CC=CC=C2)C1=O)NC1=CC=CC=C1
CHEMBL118189	 BrC1=CC=C(NC(=O)NC2C(=O)N(CC34C[C@H]5C[C@H](C[C@H](C5)C3)C4)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)C=C1
CHEMBL332850	 O=C(NC1C(=O)N(CC23C[C@H]4C[C@H](C[C@H](C4)C2)C3)C2=CC=CC=C2N(C2=CC=CC=C2)C1=O)NC1=CC=CC(CN2CCOCC2)=C1
CHEMBL334020	 O=C(NC1C(=O)N(CC2[C@H]3C[C@@H]4C[C@@H](C[C@H]2C4)C3)C2=CC=CC=C2N(C2=CC=CC=C2)C1=O)NC1=CC=CC=C1
CHEMBL332601	 O=C(NC1C(=O)N(CCC23C[C@H]4C[C@H](C[C@H](C4)C2)C3)C2=CC=CC=C2N(C2=CC=CC=C2)C1=O)NC1=CC=CC=C1
CHEMBL278018	 O=C(NC1C(=O)N(C2CC3CCC2C3)C2=CC=CC=C2N(C2=CC=CC=C2)C1=O)NC1=CC=CC=C1
CHEMBL120021	 CN(C)C1=CC=CC(NC(=O)NC2C(=O)N(CC34C[C@H]5C[C@H](C[C@H](C5)C3)C4)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)=C1
CHEMBL118622	 CC(C)(C)CCN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC(=C2)C#N)C1=O
CHEMBL331119	 CC(=O)NC1=CC=CC(NC(=O)NC2C(=O)N(CC34C[C@H]5C[C@H](C[C@H](C5)C3)C4)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)=C1
CHEMBL331468	 NC1=CC=CC(NC(=O)NC2C(=O)N(CC34C[C@H]5C[C@H](C[C@H](C5)C3)C4)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)=C1
CHEMBL333930	 CN(C)C1=CC=CC(NC(=O)NC2C(=O)N(CC3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)=C1
CHEMBL120015	 CN(C)C1=CC=CC(NC(=O)NC2C(=O)N(C3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)=C1
CHEMBL121028	 BrC1=CC(NC(=O)NC2C(=O)N(CC34C[C@H]5C[C@H](C[C@H](C5)C3)C4)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)=CC=C1
CHEMBL1808419	 O=C(NC1C(=O)N(CCN2CCCC2)C2=CC=CC=C2N(CC23CC4CC(CC(C4)C2)C3)C1=O)NC1=CC=CC=C1
CHEMBL331262	 CN(C)C1=CC=CC(NC(=O)NC2C(=O)N(C3CC4CCC3C4)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)=C1
CHEMBL332128	 CN(C)C1=CC=CC(NC(=O)NC2C(=O)N(CCC34C[C@H]5C[C@H](C[C@H](C5)C3)C4)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)=C1
CHEMBL118954	 OC1=CC=C(NC(=O)NC2C(=O)N(CC34C[C@H]5C[C@H](C[C@H](C5)C3)C4)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)C=C1
CHEMBL332595	 CC(C)CC(C)N1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL330409	 O=C(NC1C(=O)N(CC23CC4CC(CC(C4)C2)C3)C2=CC=CC=C2N(C2CCCCC2)C1=O)NC1=CC=CC=C1
CHEMBL339879	 CC(C)C(C)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL420728	 CC(C)(C)CCN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL331244	 OC1=CC(NC(=O)NC2C(=O)N(CC34C[C@H]5C[C@H](C[C@H](C5)C3)C4)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)=CC=C1
CHEMBL100548	 CC(C)CCN1C2=CC=CC=C2N(CC23CC4CC(CC(C4)C2)C3)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL119608	 CCOC(=O)C1=CC=CC(NC(=O)NC2C(=O)N(CC34C[C@H]5C[C@H](C[C@H](C5)C3)C4)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)=C1
CHEMBL103750	 CC(C)CCN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL330854	 CCCCN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL101456	 O=C(NC1C(=O)N(CC23CC4CC(CC(C4)C2)C3)C2=CC=CC=C2N(CC23CC4CC(CC(C4)C2)C3)C1=O)NC1=CC=CC=C1
CHEMBL420459	 CC(CC1CCCC1)N1C2=CC=CC=C2N(C(C)CC2CCCC2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL100776	 CC(C)CCN1C2=CC=CC=C2N(CC23CC4CC(CC(C4)C2)C3)C(=O)C(NC(=O)NC2=CC=CC(=C2)N(C)C)C1=O
CHEMBL258630	 CC1=CC=CC(NC(=O)NC2C(=O)N(CC(=O)N3CCCC3)C3=CC=CC=C3N(CC(=O)N3CCCC3)C2=O)=C1
CHEMBL331975	 CN(C)C1=CC=CC(NC(=O)NC2C(=O)N(CCC(C)(C)C)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)=C1
CHEMBL1808415	 CC1=CC=CC(NC(=O)NC2C(=O)N(CCN3CCOCC3)C3=CC=CC=C3N(CC3CCCCC3)C2=O)=C1
CHEMBL121267	 ClC1=CC(NC(=O)NC2C(=O)N(C3CC4CCC3C4)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)=CC=C1
CHEMBL1808410	 CC(C)CCN1C2=CC=CC=C2N(CCN2CCCCC2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL340107	 CN(C)C1=CC=C(NC(=O)NC2C(=O)N(CCC3CCCC3)C3=CC=CC=C3N(C3=CC=CC=C3F)C2=O)C=C1
CHEMBL1808420	 CN(C)CCN1C2=CC=CC=C2N(CC23CC4CC(CC(C4)C2)C3)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL121624	 CSC1=CC=CC(NC(=O)NC2C(=O)N(CCC34C[C@H]5C[C@H](C[C@H](C5)C3)C4)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)=C1
CHEMBL120296	 FC1=CC=CC=C1N1C2=CC=CC=C2N(CCC2CCCC2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL1807152	 CCN(CC)CCN1C2=CC=CC=C2N(CC2CCCCC2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL100685	 CC(C)CCN1C2=CC=CC=C2N(CC2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL331405	 [O-][N+](=O)C1=CC(NC(=O)NC2C(=O)N(CC34C[C@H]5C[C@H](C[C@H](C5)C3)C4)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)=CC=C1
CHEMBL101063	 CC(C)CCN1C2=CC=CC=C2N(CCC(C)C)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
